name,pagerank
Diveeva N,0.0004065392408768806
Khokhlov E,0.0004065392408768805
Filippova M,0.0004065392408768805
Korovin EA,0.0003637254265271167
Sayers S,0.0003438847685623089
Guo Z,0.0003390738117378112
Yu B,0.0003221389007179935
Bates D,0.0003163995287490552
Mackenzie I,0.0003163995287490552
Mareyeva E,0.00030447700095161633
Chernysh MF,0.00030008805317796675
Dautbekova M,0.0002900417695731206
Isayeva A,0.0002900417695731206
Baisultanova K,0.0002900417695731206
Yesserkepova Z,0.0002900417695731206
Krikh SÐ’,0.00028897574658817867
Dal Maso J,0.0002877073178948576
Alimov KZ,0.0002676025577908392
Harding N,0.00026389300718040006
Shenming L,0.0002615736023846119
